event,file,A_baseline_mV,A_positive_excursion_mV,A_positive_time_ns,A_negative_excursion_mV,A_negative_time_ns,B_baseline_mV,B_positive_excursion_mV,B_positive_time_ns,B_negative_excursion_mV,B_negative_time_ns,C_baseline_mV,C_positive_excursion_mV,C_positive_time_ns,C_negative_excursion_mV,C_negative_time_ns,D_baseline_mV,D_positive_excursion_mV,D_positive_time_ns,D_negative_excursion_mV,D_negative_time_ns
1605,event_001605.csv,0.0,39.98524,-64.0,-39.98524,-20.0,0.0,39.52387,-24.0,-39.52387,-28.0,138.71800000000002,59.36269999999999,-84.0,-59.51647000000001,-100.0,31.74213,15.871060000000003,0.0,-15.87107,-76.0
1606,event_001606.csv,0.0,39.98524,-56.0,0.0,-100.0,0.0,39.52387,-80.0,-39.52387,-28.0,118.8792,79.20150000000001,-40.0,-39.67766999999999,-92.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1607,event_001607.csv,0.0,39.98524,-96.0,-39.98524,196.0,0.0,39.52387,-96.0,-39.52387,-20.0,158.5568,39.5239,-52.0,-119.03293000000001,40.0,23.80659,23.806600000000003,0.0,-23.80659,20.0
1608,event_001608.csv,0.0,39.98524,-96.0,0.0,-100.0,0.0,79.20153,184.0,-39.52387,-92.0,118.8792,79.20150000000001,20.0,-79.35533,-4.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-28.0
1609,event_001609.csv,0.0,39.98524,-60.0,-39.98524,192.0,0.0,39.52387,-92.0,-39.52387,0.0,118.8792,79.20150000000001,-76.0,-79.35533,124.0,19.838825,35.709895,0.0,-19.838825,20.0
1610,event_001610.csv,0.0,39.98524,-88.0,-39.98524,-28.0,0.0,39.52387,-56.0,-39.52387,-4.0,158.5568,79.20159999999998,136.0,-119.03293000000001,52.0,31.74213,15.871060000000003,0.0,-15.87107,84.0
1611,event_001611.csv,0.0,39.98524,-24.0,0.0,-100.0,0.0,39.52387,-88.0,-39.52387,28.0,118.8792,79.20150000000001,-36.0,-39.67766999999999,-20.0,23.80659,23.806600000000003,0.0,-23.80659,-36.0
1612,event_001612.csv,0.0,39.98524,-100.0,-39.98524,-44.0,0.0,39.52387,-96.0,-39.52387,-100.0,118.8792,79.20150000000001,-88.0,-39.67766999999999,0.0,23.80659,23.806600000000003,0.0,-7.93553,-36.0
1613,event_001613.csv,0.0,39.98524,-68.0,-39.98524,168.0,0.0,39.52387,-28.0,-39.52387,160.0,118.8792,79.20150000000001,-36.0,-39.67766999999999,-92.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-64.0
1614,event_001614.csv,0.0,39.98524,-88.0,-39.98524,-84.0,0.0,39.52387,-96.0,-39.52387,-84.0,118.8792,118.8792,16.0,-39.67766999999999,-60.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1615,event_001615.csv,0.0,39.98524,-48.0,0.0,-100.0,0.0,39.52387,-64.0,-39.52387,-76.0,118.8792,118.8792,16.0,-79.35533,36.0,23.80659,23.806600000000003,0.0,-15.871058999999999,28.0
1616,event_001616.csv,0.0,39.98524,-92.0,-39.98524,-88.0,0.0,39.52387,-100.0,-39.52387,104.0,158.5568,39.5239,16.0,-79.35527,-72.0,15.87106,31.742130000000003,0.0,-15.87106,-40.0
1617,event_001617.csv,0.0,39.98524,-80.0,0.0,-100.0,0.0,39.52387,-72.0,-39.52387,-84.0,118.8792,79.20150000000001,16.0,-39.67766999999999,112.0,23.80659,23.806600000000003,0.0,-7.93553,-96.0
1618,event_001618.csv,0.0,39.98524,-96.0,-39.98524,-100.0,0.0,39.52387,-40.0,-39.52387,-92.0,118.8792,118.8792,192.0,-39.67766999999999,-20.0,23.80659,23.806600000000003,0.0,-23.80659,20.0
1619,event_001619.csv,0.0,39.98524,-92.0,-39.98524,-48.0,0.0,39.52387,-100.0,-39.52387,-72.0,118.8792,118.8792,20.0,-39.67766999999999,-16.0,23.80659,23.806600000000003,0.0,-15.871058999999999,-40.0
1620,event_001620.csv,0.0,39.98524,-48.0,-39.98524,-8.0,0.0,39.52387,-88.0,-39.52387,-20.0,118.8792,79.20150000000001,-16.0,-39.67766999999999,36.0,23.80659,23.806600000000003,0.0,-7.93553,-40.0
1621,event_001621.csv,0.0,39.98524,-100.0,0.0,-96.0,0.0,39.52387,-96.0,-39.52387,-100.0,118.8792,79.20150000000001,16.0,-39.67766999999999,-4.0,23.80659,23.806600000000003,0.0,-7.93553,-100.0
1622,event_001622.csv,0.0,39.98524,-80.0,-39.98524,-72.0,0.0,39.52387,-92.0,-39.52387,-96.0,118.8792,79.20150000000001,64.0,-39.67766999999999,-60.0,23.80659,23.806600000000003,0.0,-7.93553,-40.0
